ProductName,Nutrient_category,Description,Contents,Formulated_For,Suplements Facts,Suplements Facts Images,Product_Image,QR_Video,FORMULATION ADVANTAGE:,Amino Acid Profile Per Serving,Benefits,Pdf_link,HealthConcern,Introduction,Risk Factors,Blood Pressure Classification,Nitric Oxide & Blood Pressure,Lifestyle Recommendations,Nutrient Recommendations,Signs & Symptoms,Insulin Resistance & PCOS,Causes,Autonomic Nervous System & Responses,Common Prescriptions,Nutrient Depletions,Sources of Nutrients
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,Blood pressure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"ACE inhibitors (Lotensin, Capoten, Monopril)","Carnitine, Copper, CoQ10, Essential fatty acids (EFAs), Selenium, Vitamin D, Vitamin E, Zinc","Oysters, Seafood, Pumpkin seeds, Nutritional supplements"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,High cholesterol,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Statins (Lipitor, Altoprev, Livalo, Crestor)","CoQ10, Folic acid, Vitamin B12","Red meat, Organ meat, Fish, Brazil nuts, Nutritional supplements"
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/1FSfBVj93qGriotRSf3Tqh8uFJH9rM8jY/view,"Type 2 diabetes, PCOS",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Metformin,Vitamin B12,"Red meat, Organ meat, Green leafy vegetables, Nutritional supplements"
4sight,Unknown,"4sight is formulated with a specific blend of antioxidants, minerals and botanicals, all of which have been demonstrated in research to support healthy eye function.","The eye is the organ most susceptible to oxidative damage caused by light, toxins (smoke), and atmospheric oxygen. The formula includes potent antioxidants and key nutrients to protect the eyes from free radical damage and maintain the long-term health of the eyes. Lipoic acid, a potent, versatile antioxidant, “recharges” other vital antioxidants such as vitamins E and C and glutathione. The carotenoids lutein and zeaxanthin are found in high concentrations in the macula lutea portion of the eye. These strong antioxidants have been shown to protect the lens protein, lipid membranes, and DNA from oxidative damage to help improve visual acuity. Zinc, a vital coenzyme for eye tissue, is a necessary component in antioxidant enzymes including superoxide dismutase, glutathione peroxidase and catalase. Zinc also stimulates the enzymes responsible for digesting rod outer segments and preventing the build-up of lipofuscin, a lipid-containing residue caused by normal “wear and tear” that can impair vision",EYE HEALTH,Unknown,https://drive.google.com/uc?export=view&id=1NMbG-yA0A0NYrT88uZ_7jG_BC-mZUt-U,https://drive.google.com/uc?export=view&id=1RYbH_7wPj5DqSFSf8nWs4lJl-1CpTl5o,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5-HTP,Unknown,"5-hydroxytryptophan (5-HTP) is an amino acid that plays an important 
role in the production of serotonin, a neurotransmitter associated with the 
feeling of wellbeing.","5-hydroxytryptophan (5-HTP) is an amino acid that plays an important role in the production of serotonin, a neurotransmitter associated with the feeling of wellbeing.",MOOD SUPPORT,Unknown,https://drive.google.com/uc?export=view&id=18bNbR7k7u4JwXsmmNaU51Fu2tQOXMrrO,https://drive.google.com/uc?export=view&id=1iztp-75j-9bqSG5lo6qf5033fkNnv1jf,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adapten-All®,Unknown,"Formulated for those who are “stressed and tired,” Adapten-All® includes a blend of key micronutrients and adaptogenic botanicals formulated to strengthen the body’s stress response and support healthy energy levels","Extended periods of stress not only burden the stress response system, but can also result in mental and physical fatigue, nervousness, irritability and poor memory. Rhodiola rosea root extract is categorized as an adaptogenic botanical due to its ability to increase resistance to variety of stressors. Within the central nervous system, Rhodiola has been shown to preserve levels of neurotransmitters such as serotonin, dopamine and norepinephrine. Eleuthero root extract is a strong adaptogenic botanical widely used in China to support general health, memory and endurance. In addition to improving stress resilience and fighting fatigue, Eleuthero has exhibited immune supporting effects. Schisandra berry extract is a botanical used for centuries in China and Russia to help support mental clarity, stress response and emotional health. Licorice root extract promotes healthy cortisol levels by inhibiting an enzyme that converts cortisol to its inactive form, cortisone. This is important for individuals who need support for maintaining healthy inflammatory balance. Ashwagandha root extract is a botanical that helps calm the nervous system and supports sleep cycle regulation and healthy thyroid function",ENDOCRINE HEALTH,Unknown,https://drive.google.com/uc?export=view&id=12dzsf6PW8Efv3NcEEp_yYaBYTsEaSCYi,https://drive.google.com/uc?export=view&id=1TpaWp-zqEOIQv--E5XSt1HmQYm4IPe2z,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adren-All®,Unknown,"Formulated for those who are “stressed and tired,” Adren-All® includes a blend of key micronutrients, adaptogenic botanicals and adrenal concentrate specifically formulated to strengthen the body’s stress response and support healthy energy levels.","Adren-All® is a powerful formulation that helps support the body’s resistance to fatigue and aids in maintaining balanced cortisol and DHEA levels in times of prolonged stress. Rhodiola rosea root extract has been shown to preserve levels of neurotransmitters such as serotonin, dopamine and norepinephrine. In addition to improving stress resilience and fighting fatigue, Eleuthero root extract has exhibited immune supporting effects. Schisandra berry extract is a botanical used for centuries in China and Russia to help support mental clarity, stress response and emotional wellness. Licorice root extract promotes healthy cortisol levels by inhibiting an enzyme that converts cortisol to its inactive form, cortisone. This is important for individuals who need support for maintaining healthy inflammatory balance. Adrenal concentrate has been used in medicine for thousands of years. The concept of glandular support holds that similar organ extracts from animals will enhance the same organ within humans by stimulating its activity and providing concentrated nutrients specific to the organ.",ENDOCRINE HEALTH,Unknown,https://drive.google.com/uc?export=view&id=1hmqQJHZPpKtRH2yr44CnZ4MnxoERisWH,https://drive.google.com/uc?export=view&id=1qaPkmvtcgzIzBMpmGG1Voca94ELbfYmY,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AdreneVive®,Unknown,"Formulated for those who are “stressed and wired,” AdreneVive® includes a blend of adaptogenic botanicals and key nutrients specifically formulated to calm a hyperactive stress response system and counteract the effects of daily stress.","Stress is defined as any disturbance (extreme cold or heat, psychological stress, sleep deprivation, work overload, physical trauma, or toxic exposure) that triggers the stress response in the body. AdreneVive® includes L-theanine, an amino acid found naturally in green tea, which promotes a calm and centered state of relaxation by promoting alpha brain wave activity. In addition, phosphatidylserine prevents stress-induced hyperexcretion of cortisol. Ashwagandha root extract improves stress resilience, helps promote a healthy sleep cycle and thyroid function, and protects against exhaustion of the nervous system. Rhodiola rosea root extract has been shown to preserve levels of neurotransmitters such as serotonin, dopamine and norepinephrine. Eleuthero root extract and Scutellaria baicalensis, or skullcap root, are strong adaptogenic botanicals and have been shown to improve stress resilience and maintain immune balance.",ENDOCRINE HEALTH,Unknown,https://drive.google.com/uc?export=view&id=1ujwPYJzzkWPr8WVzV1t5kakbdSOEOxZS,https://drive.google.com/uc?export=view&id=1ewXzCULdQKut02-1pidgmdAvT706GoPX,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alpha Base® Capsules without Iron,Unknown,"Formulated using the highest standards and most effective vitamin and mineral ingredients available, Alpha Base® provides a safe, effective supplement for lifelong nutritional support.","Alpha Base® includes a full spectrum of highly absorbable USP vitamins and mineral chelate complexes, manufactured by Albion®, the world leader in bioavailable mineral chelates. An important highlight of Alpha Base® is the 2:1 magnesium to calcium ratio, which ensures proper mineral balance is achieved in the body. The Alpha Base® formula uses only high-quality USP and methylated B vitamins to support energy production. Key antioxidants, vitamin C and vitamin E mixed tocopherols, protect cells from free radical damage. The Alpha Base® formula is the ideal foundation supplement for individuals looking to optimize nutrient intake. The formula is available in capsules with or without iron.",ESSENTIAL VITAMINS,Unknown,https://drive.google.com/uc?export=view&id=1vfneUXE1v4zfGY-J98jOwbPLdGYCZngv,https://drive.google.com/uc?export=view&id=11clUR5qaTo49Ynce0OCvDitlT0lxVQf4,https://drive.google.com/uc?export=view&id=1JL6qHbARJXVRXNYT9LOFw1dX-nEJTk0b,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alpha Base® Capsules with Iron,Unknown,"Formulated using the highest standards and most effective vitamin and mineral ingredients available, Alpha Base® provides a safe, effective supplement for lifelong nutritional support.","Alpha Base® includes a full spectrum of highly absorbable USP vitamins and mineral chelate complexes, manufactured by Albion®, the world leader in bioavailable mineral chelates. An important highlight of Alpha Base® is the 2:1 magnesium to calcium ratio, which ensures proper mineral balance is achieved in the body. The Alpha Base® formula uses only high-quality USP and methylated B vitamins to support energy production. Key antioxidants, vitamin C and vitamin E mixed tocopherols, protect cells from free radical damage. The Alpha Base® formula is the ideal foundation supplement for individuals looking to optimize nutrient intake. The formula is available in capsules with or without iron.",ESSENTIAL VITAMINS,Unknown,https://drive.google.com/uc?export=view&id=1a0r-k7AnKWTpDYcyapnV4oPyCyJRe6sD,https://drive.google.com/uc?export=view&id=1NHZdx3KZsNefCllL8qDzCXlEkoMu7Yz8,https://drive.google.com/uc?export=view&id=1JL6qHbARJXVRXNYT9LOFw1dX-nEJTk0b,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alpha Base® PREMIER PACKS,1) Micronutrient Reserve - Optimized foundation of vitamins and minerals 2) Phytonutrient Reserve - Bioactive antioxidants to protect the body from the ravages of oxidative stress related conditions 3) Omega-3 Reserve - Extra-strength EPA and DHA to establish a healthy omega-6:omega-3 ratio,"Alpha Base® Premier Packs provide a targeted combination of three high-concentration nutritional formulas in convenient, easy-to-take packets.","Good nutrition promotes health, while nutritional deficiencies can contribute to many chronic diseases. Yet, many people underestimate the importance of achieving proper levels of essential nutrients each day. Nutritional deficiencies may be caused by drug induced nutrient depletion, poor food choices or inadequate nutrient levels in the soil. Combined with the impact of a high-stress, fast-paced modern lifestyle, ensuring foundational nutrition each day becomes essential. Alpha Base® Premier Packs make achieving optimal daily nutrition simple by supplying these cornerstone products in convenient packets. Each pack includes Alpha Base® Capsules without Iron, a hypo-allergenic, comprehensive blend of bioavailable USP vitamins and minerals. This formula uses only high-quality B vitamins like folate (as Quatrefolic™ -100% 5-MTHF), the biologically active form of folic acid. Albion® chelated minerals provide enhanced bioavailability. An optimal 2:1 ratio of magnesium to calcium ensures proper mineral balance. Orthomega® 820 is also included, and contains 430 mg of eicosapentaenoic acid (EPA) and 390 mg of docosahexaenoic acid (DHA) omega-3 fatty acids per soft gel. In addition, 50 mg of docosapentaenoic acid (DPA) acts as a reserve for EPA and DHA. EPA, DHA and DPA are provided as triglycerides, the preferred form for superior absorption. Finally, each pack includes Resvoxitrol, a unique combination of phytonutrients, and the Complete Turmeric Matrix (CTM), which is designed to enhance antioxidant potential and maintain healthy inflammatory balance in the body.",ESSENTIAL VITAMINS,Unknown,https://drive.google.com/uc?export=view&id=19ZIbrM_3Yb4kKSdvf14-2Gto5HtbuU3W,https://drive.google.com/uc?export=view&id=1NCPCeayaHGXSkguCgmukeS8tZOW_napO,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Balance,Unknown,"Balance addresses the need for healthy hormone levels with a robust formula that helps maintain the menstrual cycle, healthy progesterone-to-estrogen balance, and optimal prolactin levels.","The main ingredient in Balance is chaste berry extract, which has a long history of providing effective support for healthy menstrual cycles and normal levels of the hormone prolactin. Licorice root extract has been shown to support adrenal health. Peony root extract helps promote balanced progesterone secretion, ultimately maintaining long-term hormone balance. Studies have shown that, when used together, licorice root extract and peony root extract support normal DHEA-S levels, decrease prostaglandin production and normalize prolactin levels.","ENDOCRINE HEALTH ( WOMEN'S
HEALTH)",Unknown,https://drive.google.com/uc?export=view&id=1PnaLMm6BRDjN--BTsBuDtZWlfP7NkSNG,https://drive.google.com/uc?export=view&id=1sOAEHniaz75bHhhRc-QFP2OMe2tUB0mG,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
The Power of Bergamot,1) HMG-CoA Reductase - Clinically proven to optimize cholesterol levels already within the normal range 2) Inflammatory Balance -  Unique array of polyphenols that maintain normal inflammatory balance  3) CoQ10 Levels -  Does not deplete CoQ10 levels like conventional therapies 4) Arterial Health - Preserves arterial elasticity and cardiovascular wellness,"Bergamot BPF is clinically proven to dramatically affect
 multiple biomarkers associated with cardiometabolic health.","Optimizing cardiometabolic wellness begins with maintaining healthy cholesterol levels already within the normal range and normal inflammatory balance. Circulating cholesterol levels are primarily controlled by the liver, specifically the rate-limiting enzyme HMG-CoA reductase. Because of its cholesterol-balancing role, HMG-CoA reductase is a target of many traditional therapies, but studies indicate these therapies deplete the metabolic reserve of several critical nutrients and do not provide an antioxidant benefit.",Unknown,Unknown,Unknown,https://drive.google.com/uc?export=view&id=1_NuxLZGtnnXUdHvcqjbILn2AP0x27oYL,Unknown,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bergamot BPF,Unknown,"Bergamot BPF maintains normal inflammatory balance, glucose regulation, arterial health, healthy cholesterol levels already within the normal range and cardiometabolic wellness.","Optimizing cardiovascular health is a leading concern for many adults, and maintaining balanced cholesterol levels is an important part of that process. Though cholesterol can be consumed through food, circulating cholesterol levels are primarily produced and controlled by the liver using the rate control enzyme, HMG-CoA reductase (HMGCR). Because of its pronounced role in cholesterol synthesis, inhibiting HMGCR has become a primary target of many traditional therapies. Bergamot (Citrus bergamia) is a citrus plant that grows almost exclusively in the narrow coastal Calabria region in southern Italy. The local population quickly discovered bergamot juice could be used to help support healthy cholesterol levels and optimize cardiovascular wellness. Bergamot BPF’s health benefits derive from its unique profile of phenolic compounds such as neoeriocitrin, neohesperidin and naringin. Naringin has been shown to be beneficial in maintaining healthy inflammatory balance while neoeriocitrin has been found to exhibit a strong capacity to quench free radicals and maintain healthy LDL cholesterol levels. Also, bergamot naturally contains large amounts of brutieridin and melitidin, which have a unique ability to dampen HMG-CoA reductase.",CARDIOVASCULAR HEALTH,Unknown,https://drive.google.com/uc?export=view&id=1RQ_9ETF0JeRpjVbanF-SEV8TRFIFmX2f,https://drive.google.com/uc?export=view&id=1D7WJz9tKsXOkZLjZCTQ4DF1fy889GBQA,https://drive.google.com/uc?export=view&id=1r4qEQrtB_ygYjYcCzwTUT8lVOElLfJ5c,Unknown,Unknown,Unknown,https://drive.google.com/file/d/17aT6hgZQOPLEiGmu4E_XD8cx5xa4PLRP/view,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
